"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2025","21,466.27","21,603.52","21,603.52","21,297.59","2.94B","0.23%"
"04/14/2025","21,417.40","21,363.88","21,517.32","21,224.55","4.54B","2.40%"
"04/11/2025","20,914.69","20,557.49","21,127.37","20,444.04","5.14B","1.13%"
"04/10/2025","20,681.78","20,810.43","21,211.13","20,530.43","6.61B","2.06%"
"04/09/2025","20,264.49","19,494.92","20,441.14","19,260.21","8.67B","0.68%"
"04/08/2025","20,127.68","20,157.52","20,454.26","19,745.14","8.42B","1.51%"
"04/07/2025","19,828.30","20,730.05","21,047.83","19,706.03","12.69B","-13.22%"
"04/03/2025","22,849.81","22,638.21","22,998.30","22,638.21","4.25B","-1.52%"
"04/02/2025","23,202.53","23,167.31","23,393.03","22,980.96","3.57B","-0.02%"
"04/01/2025","23,206.84","23,217.11","23,456.58","23,123.35","3.98B","0.38%"
"03/31/2025","23,119.58","23,207.07","23,399.73","23,002.81","4.75B","-1.31%"
"03/28/2025","23,426.60","23,672.82","23,775.30","23,254.30","3.54B","-0.65%"
"03/27/2025","23,578.80","23,543.86","23,865.62","23,372.36","3.79B","0.41%"
"03/26/2025","23,483.32","23,460.31","23,596.85","23,350.73","3.12B","0.60%"
"03/25/2025","23,344.25","23,643.32","23,747.32","23,321.67","4.23B","-2.35%"
"03/24/2025","23,905.56","23,749.58","23,967.51","23,531.20","3.39B","0.91%"
"03/21/2025","23,689.72","24,109.07","24,230.72","23,577.78","4.93B","-2.19%"
"03/20/2025","24,219.95","24,753.15","24,753.15","24,186.69","4.10B","-2.23%"
"03/19/2025","24,771.14","24,697.63","24,874.39","24,601.73","3.59B","0.12%"
"03/18/2025","24,740.57","24,679.35","24,745.13","24,475.26","3.93B","2.46%"
"03/17/2025","24,145.57","24,226.00","24,352.47","24,077.15","3.28B","0.77%"
"03/14/2025","23,959.98","23,653.33","24,113.53","23,454.49","4.26B","2.12%"
"03/13/2025","23,462.65","23,616.33","23,712.61","23,198.73","3.23B","-0.58%"
"03/12/2025","23,600.31","23,859.23","23,962.03","23,363.98","3.63B","-0.76%"
"03/11/2025","23,782.14","23,274.86","23,858.61","23,238.36","3.55B","-0.01%"
"03/10/2025","23,783.49","24,115.98","24,292.80","23,632.42","3.68B","-1.85%"
"03/07/2025","24,231.30","24,182.02","24,669.62","24,065.01","4.83B","-0.57%"
"03/06/2025","24,369.71","23,987.09","24,410.93","23,987.09","4.89B","3.29%"
"03/05/2025","23,594.21","23,200.42","23,636.65","23,090.63","4.08B","2.84%"
"03/04/2025","22,941.77","22,678.25","23,051.01","22,547.53","3.99B","-0.28%"
"03/03/2025","23,006.27","23,135.12","23,405.98","22,861.75","4.34B","0.28%"
"02/28/2025","22,941.32","23,616.18","23,616.18","22,798.34","6.58B","-3.28%"
"02/27/2025","23,718.29","23,783.75","24,076.53","23,441.74","6.26B","-0.29%"
"02/26/2025","23,787.93","23,238.34","23,973.17","23,238.34","5.14B","3.27%"
"02/25/2025","23,034.02","22,716.48","23,248.52","22,716.48","4.45B","-1.32%"
"02/24/2025","23,341.61","23,472.14","23,688.45","23,221.57","5.26B","-0.58%"
